;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
14;1932-01-06;Fecha 34;River;0;Boca;3;River Plate;V;partido/river-0-boca-3-campeonato-1931/34/1931/1/34.html;Campeonato 1931
15;1932-06-19;Fecha 15;River;1;Boca;1;River Plate;V;partido/river-1-boca-1-campeonato-1932/49/1932/1/15.html;Campeonato 1932
16;1932-10-30;Fecha 32;Boca;2;River;1;Boca Juniors;L;partido/boca-2-river-1-campeonato-1932/66/1932/1/32.html;Campeonato 1932
17;1933-07-02;Fecha 17;Boca;1;River;1;Boca Juniors;L;partido/boca-1-river-1-campeonato-1933/85/1933/1/17.html;Campeonato 1933
18;1933-11-19;Fecha 34;River;3;Boca;1;River Plate;V;partido/river-3-boca-1-campeonato-1933/102/1933/1/34.html;Campeonato 1933
19;1934-06-17;Fecha 12;Boca;4;River;1;Boca Juniors;L;partido/boca-4-river-1-campeonato-1934/114/1934/2/12.html;Campeonato 1934
20;1934-09-16;Fecha 25;River;0;Boca;1;River Plate;V;partido/river-0-boca-1-campeonato-1934/127/1934/2/25.html;Campeonato 1934
21;1934-11-04;Fecha 32;Boca;2;River;0;Boca Juniors;L;partido/boca-2-river-0-campeonato-1934/134/1934/2/32.html;Campeonato 1934
22;1935-04-21;Fecha 5;Boca;1;River;0;Boca Juniors;L;partido/boca-1-river-0-campeonato-1935/146/1935/1/5.html;Campeonato 1935
23;1935-09-01;Fecha 22;River;1;Boca;1;River Plate;V;partido/river-1-boca-1-campeonato-1935/163/1935/1/22.html;Campeonato 1935
